epoch,train_loss,train_top1_accuracy,train_top5_accuracy,val_loss,val_top1_accuracy,val_top5_accuracy,test_loss,test_top1_accuracy,test_top5_accuracy
1,3.6268850473487926,14.616755793226377,37.66383558771103,3.5443691223386735,16.26984126984127,39.94708994708994,3.4937069921553903,16.812053925455984,40.62913031985197
2,3.062642947982691,23.214847436300722,53.17185697808535,3.3081256756706847,22.354497354497347,48.412698412698404,3.242755567999793,22.363203806502774,50.40972772931536
3,2.709124931599357,29.789241899968545,61.371500471846495,3.2795089890086464,26.190476190476186,53.17460317460318,3.2869030960650027,25.58815754692043,54.05762622257468
4,2.3697719188606188,36.793540945790085,70.17930166719094,3.047859605342623,27.380952380952383,57.53968253968254,2.9848333270041447,28.945281522601107,59.39730372720064
5,2.137625621174865,42.15162000629129,75.47446786201112,2.853666435158442,34.12698412698413,64.28571428571428,2.842531614148135,33.0954269098599,64.18186624372191
6,1.8783943889276034,49.00912236552375,79.63720247457272,2.862942744815161,35.449735449735456,63.888888888888886,2.819485075797595,34.36426116838488,65.00132170235263
7,1.656625336596051,54.00020970955227,84.41858026633113,2.857094567446482,34.523809523809526,65.74074074074075,2.787381660084803,36.74332540311922,67.01030927835052
8,1.4914669556437787,58.2048862325679,86.69392890846179,2.787125690588875,36.772486772486765,69.17989417989419,2.7813045105625784,37.03409992069786,68.70208828971715
9,1.2895038120776603,63.353255740799,89.57743525217575,2.8142086787829323,39.28571428571429,69.84126984126983,2.735144646725329,40.893470790378004,70.55247158339941
10,1.1586974871233588,66.5618118905316,91.76890007339834,2.701600490581421,40.07936507936508,69.84126984126983,2.643202780977418,41.81866243721913,71.66270155960878
11,1.053583719258039,69.79133899549123,92.58676732725175,2.8010716561287166,38.888888888888886,68.91534391534391,2.8073141517543485,40.31192175522072,70.15596087761035
12,0.9534048470686068,71.59484114501416,94.13861801405055,2.6785527368386584,42.98941798941799,73.28042328042328,2.634583054038825,45.096484271742,72.79936558287075
13,0.8796702202198644,74.56223130963615,94.77823214847436,2.656023987583699,45.238095238095234,72.4867724867725,2.6212267389773722,45.67803330689929,72.87866772402856
14,0.7880707570498098,76.6488413547237,95.74289608891685,2.6490125508298945,45.10582010582011,72.88359788359789,2.6346182548794648,45.01718213058419,73.35448057097543
15,0.7192530790683601,78.64108210128971,96.21474258152459,2.750823693830403,40.74074074074075,71.16402116402116,2.7111170553746,43.06106264869152,72.27068464181866
16,0.6732035544589633,79.94128132536437,96.68658907413233,2.6316461487421914,47.089947089947096,73.01587301587303,2.631659165985793,48.189267776896635,74.91408934707904
17,0.6390155178008593,80.9898290867149,97.07455174583203,2.7350866614826144,45.370370370370374,71.82539682539682,2.708554608058817,44.620671424795134,74.17393602960614
18,0.582130529998608,82.52070881828666,97.6407675369613,2.696427401569155,44.841269841269835,72.75132275132275,2.6414487439013405,46.55035685963521,74.5704467353952
19,0.534346905453775,83.99916116179091,97.75610779070986,2.6519346795384844,44.44444444444444,73.94179894179894,2.633591952668258,46.523922812582605,74.46471054718478
20,0.5245530263081475,84.22984166928804,97.87144804445842,2.8674210773573985,43.386243386243386,72.35449735449735,2.799729945543456,44.56780333068993,74.5704467353952
21,0.4893906517856342,85.32033134109258,98.00775925343399,2.749542984697554,46.164021164021165,73.67724867724867,2.667500928403845,47.528416600581544,75.17842981760508
22,0.46361462005747994,85.90751808744889,98.25941071615813,2.5751489450534195,48.01587301587301,76.32275132275133,2.5939889942609295,49.167327517842985,76.050753370341
23,0.4307903136987729,87.17626087868302,98.68931529831184,2.5390130513244205,49.867724867724874,75.39682539682539,2.5514446109585482,49.22019561194819,76.60586835844568
24,0.4246289840729547,87.33354304288561,98.62640243263081,2.597987000904387,49.338624338624335,76.71957671957672,2.591769040270853,49.59027227068464,76.52656621728786
25,0.40293784223543794,88.19335220719304,98.67882982069833,2.638907290403805,47.75132275132275,75.39682539682539,2.600921193779465,48.400740153317464,75.91858313507798
26,0.3636415249451337,89.27335640138409,98.90951032819545,2.4841366981466604,51.05820105820106,76.98412698412699,2.5546426348107,50.753370340999204,76.65873645255088
27,0.3676898017221092,89.25238544615708,98.96193771626297,2.6070929976209762,47.61904761904761,75.92592592592592,2.6316779542447133,48.85011895321174,75.91858313507798
28,0.34665722707345087,89.79763028205934,99.08776344762504,2.646209143693485,52.910052910052904,77.11640211640211,2.558315002969941,51.334919376156485,77.87470261697067
29,0.345801787753736,89.66131907308377,99.2135891789871,2.8049920291181594,49.20634920634921,73.01587301587303,2.696903959462148,49.88104678826328,75.54850647634153
30,0.3447392320764141,89.61937716262976,99.10873440285205,2.4712832279148564,49.338624338624335,75.92592592592592,2.5856653191233976,49.80174464710547,75.73354480570976
31,0.3168204792617066,90.55258467023172,99.26601656705462,2.5040671399661467,48.412698412698404,76.45502645502646,2.3594930772018454,51.89003436426116,78.19191118160191
32,0.3011742289804806,91.20268428226905,99.25553108944113,2.359734477031799,50.0,77.64550264550265,2.4430117790093204,50.77980438805181,76.47369812318266
33,0.29696971988481147,91.6850162524903,99.34990038796268,2.614973732876399,49.60317460317461,75.79365079365078,2.64216387864113,50.911974623314826,76.15648955855141
34,0.28607819688758285,91.63258886442277,99.39184229841669,2.581412737331693,52.248677248677254,75.13227513227514,2.540924374948085,51.123446999735656,75.99788527623579
35,0.2874296827780652,91.65355981964979,99.31844395512216,2.747634252518534,50.39682539682539,76.32275132275133,2.7060093185886274,50.99127676447264,76.55300026434047
36,0.2720692606607697,92.4609415958897,99.31844395512216,2.411714727679888,50.79365079365079,77.64550264550265,2.4082010760889183,52.07507269362939,77.55749405233942
37,0.2762834087295349,92.07297892419,99.37087134318968,2.582593147110726,51.71957671957672,76.05820105820106,2.5453995777871,50.88554057626222,76.60586835844568
38,0.2592063178056441,92.81744783474888,99.2240746566006,2.328171356093316,52.51322751322751,79.23280423280423,2.426914138709654,52.7623579169971,78.53555379328576
39,0.2436302126906575,93.11104120792703,99.54912446261928,2.5970864371573996,49.867724867724874,76.71957671957672,2.670365516250897,49.51097012952683,75.94501718213058
40,0.2719281402762118,91.97860962566845,99.50718255216525,2.37628220131118,51.71957671957672,77.77777777777779,2.4424872451636612,51.94290245836637,78.1126090404441
41,0.23674379949276364,93.32075076019713,99.49669707455175,2.63703128920188,49.60317460317461,74.20634920634922,2.6807456981295217,49.458102035421625,75.68067671160455
42,0.2350342256731628,93.29977980497011,99.50718255216525,2.525604012703139,52.51322751322751,76.71957671957672,2.5251012700250675,51.67856198784033,76.84377478191911
43,0.24813292795417347,93.069099297473,99.4232987312572,2.546134352920547,50.79365079365079,76.19047619047619,2.4849722323030177,51.81073222310335,76.7380385937087
44,0.20573584443579143,94.55803711859076,99.69592114920835,2.4506397587912434,50.264550264550266,76.32275132275133,2.439151225668577,52.49801744647106,76.47369812318266
45,0.2294187746368021,93.78211177519135,99.47572611932473,2.5751518384804806,49.338624338624335,78.04232804232805,2.6201865414030276,49.06159132963257,77.21385144065557
46,0.23315599297800058,93.48851840201321,99.52815350739226,2.3801352469220993,51.19047619047619,77.11640211640211,2.344048281274095,53.44964314036479,77.84826856991806
